accuracy,precision,recall,f1,roc_auc,pr_auc,ece,tn,fp,fn,tp,seed,model,split_type,noise_group,noise_rate,weight_text
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9932338308457712,0.9826590167794859,0.02877500516240161,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,entity,0.0,0.55
0.9681818181818181,0.989247311827957,0.8761904761904762,0.9292929292929293,0.994314143567875,0.9840737068676564,0.031321705970753885,334,1,13,92,13,retuned_text_hrkg_late_fusion,transcript,entity,0.05,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9934896943852167,0.9837321003103047,0.0341276549427662,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,entity,0.1,0.55
0.9681818181818181,0.989247311827957,0.8761904761904762,0.9292929292929293,0.9933759772565742,0.9836115027459679,0.02681032103668275,334,1,13,92,13,retuned_text_hrkg_late_fusion,transcript,entity,0.2,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9934612651030562,0.9824099676106144,0.030610001011936408,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,entity,0.3,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9932338308457712,0.9826590167794859,0.02877500516240161,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,relation,0.0,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9929495380241649,0.9823618757989238,0.032355660740749775,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,relation,0.05,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9926652452025586,0.9816718545649075,0.0303682636243914,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,relation,0.1,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9933759772565742,0.9827202970125815,0.03160510929267164,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,relation,0.2,0.55
0.9704545454545455,0.9893617021276596,0.8857142857142857,0.9346733668341709,0.9925515280739161,0.9808845235918819,0.032713433908738175,334,1,12,93,13,retuned_text_hrkg_late_fusion,transcript,relation,0.3,0.55
