model,noise_group,noise_rate,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,ece_mean,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,ece_std
retuned_text_hrkg_late_fusion,entity,0.0,0.9827272727272728,0.9881222225566022,0.9390476190476191,0.9626363648234637,0.9975607675906183,0.9933026503171096,0.026877417983073797,0.007639880142714391,0.008073493864691916,0.03473253815011519,0.017289628676367307,0.002540836774984222,0.006373682455608959,0.0028650067830651347
retuned_text_hrkg_late_fusion,entity,0.05,0.9818181818181818,0.9880993444966617,0.9352380952380953,0.9605360369601454,0.9977313432835822,0.993454675377083,0.027984004684809615,0.008503766788122624,0.008069264402134003,0.03891965093657628,0.01936648649851282,0.002046157960864508,0.005670935732315967,0.0030837836871772514
retuned_text_hrkg_late_fusion,entity,0.1,0.9831818181818182,0.9881610499687552,0.940952380952381,0.9636400700905712,0.9975607675906183,0.9933644752930938,0.029187585914410508,0.007639880142714351,0.008026185289852635,0.03525096290156525,0.01732848698916849,0.0023950214968055795,0.0058073427378460725,0.0033424683104512007
retuned_text_hrkg_late_fusion,entity,0.2,0.9822727272727272,0.9881015418721846,0.9371428571428572,0.9615888173966315,0.997498223169865,0.9932279594214662,0.028033697152867076,0.008099331673275248,0.008063395321936317,0.03663882678413591,0.018545039032133347,0.002393215404525896,0.005710766187267068,0.001719615224949139
retuned_text_hrkg_late_fusion,entity,0.3,0.9822727272727272,0.9880855925199722,0.9371428571428572,0.9616611996377722,0.9974299928926795,0.9927141446668498,0.03166124313842318,0.007078368864726125,0.00811446799751044,0.03201473583613643,0.016094506587338322,0.002304052571458263,0.006030502469903072,0.001929606818878034
retuned_text_hrkg_late_fusion,qualifier,0.0,0.9827272727272728,0.9881222225566022,0.9390476190476191,0.9626363648234637,0.9975607675906183,0.9933026503171096,0.026877417983073797,0.007639880142714391,0.008073493864691916,0.03473253815011519,0.017289628676367307,0.002540836774984222,0.006373682455608959,0.0028650067830651347
retuned_text_hrkg_late_fusion,qualifier,0.05,0.9827272727272728,0.9881222225566022,0.9390476190476191,0.9626363648234637,0.9975323383084577,0.9932474752762754,0.027327095512632394,0.007639880142714391,0.008073493864691916,0.03473253815011519,0.017289628676367307,0.0026096470600486038,0.006511256448446912,0.002707642588771624
retuned_text_hrkg_late_fusion,qualifier,0.1,0.9822727272727272,0.988082618596206,0.9371428571428572,0.9616228673098478,0.997498223169865,0.9931888186504173,0.02600697218908286,0.007773923352948679,0.008122420826439228,0.0347325381501152,0.017544089725472396,0.0025253301043885712,0.006147179687686022,0.005612429988230049
retuned_text_hrkg_late_fusion,qualifier,0.2,0.9836363636363636,0.9881834463853284,0.9428571428571428,0.9647053967237371,0.9976062544420753,0.9935302140261639,0.027936073789192356,0.006703582365342088,0.008030528255924383,0.031586902765289464,0.015126254142229364,0.0024790920880099613,0.005929385936249217,0.004043818021903883
retuned_text_hrkg_late_fusion,qualifier,0.3,0.9831818181818182,0.9881446189731754,0.940952380952381,0.9637016914566295,0.9976062544420753,0.9934666583044736,0.026602004133809122,0.006741998624632383,0.008077945959995867,0.03115319473104017,0.015170087267067225,0.0024144311652813588,0.005820494747765417,0.0033802666403569643
retuned_text_hrkg_late_fusion,relation,0.0,0.9827272727272728,0.9881222225566022,0.9390476190476191,0.9626363648234637,0.9975607675906183,0.9933026503171096,0.026877417983073797,0.007639880142714391,0.008073493864691916,0.03473253815011519,0.017289628676367307,0.002540836774984222,0.006373682455608959,0.0028650067830651347
retuned_text_hrkg_late_fusion,relation,0.05,0.9813636363636362,0.9880086472600988,0.9333333333333333,0.9596631603501408,0.9972764747690122,0.9925717561486914,0.027468016492422122,0.006703582365342098,0.00820485599433597,0.029354352395090405,0.015241288826818064,0.0025368574881155944,0.006133909289596276,0.004628298241850341
retuned_text_hrkg_late_fusion,relation,0.1,0.9822727272727272,0.9880855925199722,0.9371428571428572,0.9616611996377722,0.997225302061123,0.9924482450724739,0.029111178023989208,0.007078368864726125,0.00811446799751044,0.03201473583613643,0.016094506587338322,0.002675269469144562,0.0064886519278823445,0.0020834206800876645
retuned_text_hrkg_late_fusion,relation,0.2,0.9822727272727272,0.9880870786326479,0.9371428571428572,0.9616803631308644,0.9974641080312722,0.9929234386853842,0.02813408276766132,0.006703582365342077,0.008110492974943906,0.030565345782630912,0.015318651310156339,0.002352117237926342,0.0059249081008917095,0.0038347218874642246
retuned_text_hrkg_late_fusion,relation,0.3,0.9831818181818182,0.9881610499687552,0.940952380952381,0.9636400700905712,0.9973958777540867,0.9928563492447438,0.029397699858779935,0.007639880142714351,0.008026185289852635,0.03525096290156525,0.01732848698916849,0.0027945131183196832,0.006996105907670391,0.004297185119652941
