seed,model,split_type,accuracy,precision,recall,f1,roc_auc,pr_auc
13,full_mvgc_neural_multiview_contrastive,transcript,0.9977272727272727,1.0,0.9904761904761905,0.9952153110047847,0.9999715707178394,0.9999101527403412
17,full_mvgc_neural_multiview_contrastive,transcript,0.9954545454545455,0.9813084112149533,1.0,0.9905660377358491,0.9994598436389481,0.9982364142932598
23,full_mvgc_neural_multiview_contrastive,transcript,0.9954545454545455,1.0,0.9809523809523809,0.9903846153846154,0.9997441364605544,0.9992143658810324
29,full_mvgc_neural_multiview_contrastive,transcript,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
31,full_mvgc_neural_multiview_contrastive,transcript,0.9977272727272727,0.9905660377358491,1.0,0.995260663507109,0.9996304193319119,0.9987601670824025
