model,split_type,partial_chars,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,ece_mean,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,ece_std
noncontrastive_lexical_entity_early_fusion,transcript,0,0.9959090909090909,0.9924348607367476,0.9904761904761905,0.9914237541788052,0.999954513148543,0.9998557179917483,0.004084234609569361,0.001901500060304678,0.007898488898056772,0.006734350297014747,0.003965632355917584,6.544912257693764e-05,0.00020725736924645706,0.001885228130616924
noncontrastive_lexical_hrkg_early_fusion,transcript,0,0.9963636363636363,0.9943036837376461,0.9904761904761905,0.992362594169778,0.9999317697228145,0.9997851239525751,0.0036268965372867916,0.00124482399432985,0.005200130885113379,0.006734350297014747,0.002625177950617007,6.54491225769497e-05,0.00020635611194679156,0.0014289741253745417
noncontrastive_lexical_structural_early_fusion,transcript,0,0.9959090909090909,0.9924348607367476,0.9904761904761905,0.9914237541788052,0.9999317697228145,0.9997817225407086,0.004081061977388018,0.001901500060304678,0.007898488898056772,0.006734350297014747,0.003965632355917584,9.556637563016288e-05,0.0003065719009852694,0.001842058301545309
retuned_entity_view_lr,transcript,0,0.925,0.8312573473535885,0.8609523809523809,0.8456628290589702,0.9802587064676617,0.9409782395066516,0.06281637691249504,0.013636363636363646,0.03095784805574197,0.03129843185743807,0.027771283299514796,0.006673031423909704,0.016535203760362025,0.007211506662699774
retuned_hrkg_all_lr,transcript,0,0.9454545454545455,0.8936386563046904,0.8780952380952382,0.885024396863223,0.9873944562899787,0.9571567922255857,0.04229241848790977,0.011134044285378042,0.04430091123077125,0.029661736195042712,0.02233354347620918,0.004437363812641129,0.014413000618507952,0.008960992708035033
retuned_structural_view_lr,transcript,0,0.9340909090909092,0.8788309574023859,0.8419047619047619,0.8590528392027039,0.9798550106609809,0.942117688198896,0.0628750383577031,0.009775369621639381,0.03931259156561806,0.03725258517258657,0.02073016383106118,0.004032080098444706,0.01244818444103936,0.014029397243079682
retuned_text_hrkg_late_fusion,transcript,0,0.9827272727272728,0.9881222225566022,0.9390476190476191,0.9626363648234637,0.9975607675906183,0.9933026503171096,0.026877417983073797,0.007639880142714391,0.008073493864691916,0.03473253815011519,0.017289628676367307,0.002540836774984222,0.006373682455608959,0.0028650067830651347
retuned_text_only_lexical_lr,transcript,0,0.9827272727272728,0.9880817398919864,0.9390476190476191,0.9626032947660452,0.9989879175550819,0.9962679604012902,0.01565296338617125,0.008442807100457665,0.008057382959375962,0.0366388267841359,0.019259156891119154,0.0007735168320792224,0.002925729966248717,0.007565068670207024
